id,value
dgfip.finances.gouv.fr,90
interieur.gouv.fr,69
developpement-durable.gouv.fr,52
modernisation.gouv.fr,47
finances.gouv.fr,41
ac.versailles.fr,37
education.gouv.fr,37
ssi.gouv.fr,31
sg.social.gouv.fr,25
diplomatie.gouv.fr,24
ac.montpellier.fr,22
agriculture.gouv.fr,17
culture.gouv.fr,17
ac.lille.fr,14
pm.gouv.fr,13
ac.creteil.fr,13
data.gouv.fr,13
ac.nancy-metz.fr,11
ac.rennes.fr,11
insee.fr,11
douane.finances.gouv.fr,11
intradef.gouv.fr,10
ac.caen.fr,10
beta.gouv.fr,9
gendarmerie.interieur.gouv.fr,9
educagri.fr,9
ac.grenoble.fr,9
aviation-civile.gouv.fr,9
reseau-canope.fr,8
ac.bordeaux.fr,8
ac.lyon.fr,8
ac.orleans-tours.fr,8
ac.poitiers.fr,7
justice.gouv.fr,7
ign.fr,7
ac.aix-marseille.fr,7
ac.nantes.fr,7
dila.gouv.fr,6
ac.rouen.fr,6
ac.dijon.fr,6
occitanie.gouv.fr,5
ac.strasbourg.fr,5
sante.gouv.fr,5
ac.nice.fr,5
recherche.gouv.fr,5
cnil.fr,4
direccte.gouv.fr,4
externes.justice.gouv.fr,4
ac.amiens.fr,4
ac.reims.fr,4
ac.limoges.fr,4
enseignementsup.gouv.fr,3
ac.clermont.fr,3
senat.fr,3
bouches-du-rhone.gouv.fr,3
defense.gouv.fr,3
inria.fr,3
social.gouv.fr,3
inserm.fr,3
arcep.fr,3
ac.toulouse.fr,3
ccomptes.fr,2
bnf.fr,2
cerema.fr,2
drjscs.gouv.fr,2
justice.fr,2
ars.sante.fr,2
bas-rhin.gouv.fr,2
loiret.gouv.fr,2
ac.martinique.fr,2
debatpublic.fr,2
haute-garonne.gouv.fr,2
caissedesdepots.fr,2
nord.gouv.fr,2
crtc.ccomptes.fr,2
ac.besancon.fr,2
auvergne-rhone-alpes.gouv.fr,2
ac.paris.fr,2
cote-dor.gouv.fr,2
unistra.fr,2
creps-pdl.sports.gouv.fr,1
dgccrf.finances.gouv.fr,1
service-civique.gouv.fr,1
onf.fr,1
cned.fr,1
jeunesse-sports.gouv.fr,1
ena.fr,1
yonne.gouv.fr,1
maine-et-loire.gouv.fr,1
eure.gouv.fr,1
var.gouv.fr,1
alpes-de-haute-provence.gouv.fr,1
calvados.gouv.fr,1
manche.gouv.fr,1
rhone.gouv.fr,1
banque-france.fr,1
cnam.fr,1
dgtresor.gouv.fr,1
anah.gouv.fr,1
gironde.gouv.fr,1
vaucluse.gouv.fr,1
ac.corse.fr,1
ira-bastia.gouv.fr,1
alumni.ena.fr,1
meuse.gouv.fr,1
cotes-darmor.gouv.fr,1
hautes-pyrenees.gouv.fr,1
equipement.gouv.fr,1
ac.guyane.fr,1
ardeche.gouv.fr,1
sports.gouv.fr,1
gs.ac.lyon.fr,1
vendee.gouv.fr,1
loire.gouv.fr,1
tarn-et-garonne.gouv.fr,1
latmos.ipsl.fr,1
equipement-agriculture.gouv.fr,1
inrap.fr,1
strategie.gouv.fr,1
efs.sante.fr,1
ac.guadeloupe.fr,1
grand-est.gouv.fr,1
cnda.juradm.fr,1
cines.fr,1
via.ecp.fr,1
dordogne.gouv.fr,1
cnig.gouv.fr,1
meurthe-et-moselle.gouv.fr,1
cnes.fr,1
sarthe.gouv.fr,1
saone-et-loire.gouv.fr,1
